City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Golakganj,IN,26.1,89.8333,80.38,83,97,6.42,overcast clouds
140,Starkville,US,33.4504,-88.8184,66.78,47,0,13.56,clear sky
141,Le Port,RE,-20.9373,55.2919,73.4,93,21,7.36,few clouds
142,Castro,BR,-24.7911,-50.0119,75.78,59,75,2.17,broken clouds
143,Tahoua,NE,14.8888,5.2692,96.37,11,17,10.87,few clouds
144,Mareeba,AU,-17.0,145.4333,70.45,90,5,1.23,clear sky
145,Blackwater,AU,-23.5833,148.8833,64.29,33,0,7.92,clear sky
146,Xiuyan,CN,40.2928,123.2744,30.52,39,0,4.7,clear sky
147,Torbay,CA,47.6666,-52.7314,48.27,96,100,1.01,light rain
148,Ruteng,ID,-8.6136,120.4721,63.81,90,79,1.32,broken clouds
149,Lorengau,PG,-2.0226,147.2712,81.77,81,44,10.4,scattered clouds
150,Yar-Sale,RU,66.8333,70.8333,39.74,89,100,14.76,overcast clouds
151,Kirensk,RU,57.7853,108.1119,31.73,97,100,4.43,snow
152,Iqaluit,CA,63.7506,-68.5145,31.69,57,0,3.0,clear sky
153,Semey,KZ,50.4111,80.2275,42.21,57,13,6.8,few clouds
154,Carnarvon,AU,-24.8667,113.6333,66.27,77,40,13.8,scattered clouds
155,Batemans Bay,AU,-35.7167,150.1833,51.1,80,1,3.49,clear sky
156,Kieta,PG,-6.2167,155.6333,80.2,84,85,3.65,light rain
157,Belokurikha,RU,51.9959,84.9896,41.52,63,89,3.65,overcast clouds
158,New Norfolk,AU,-42.7826,147.0587,48.92,71,97,1.01,overcast clouds
159,Akhmim,EG,26.5622,31.745,89.94,14,0,15.37,clear sky
160,Autazes,BR,-3.5797,-59.1306,103.66,24,98,4.72,overcast clouds
161,Grindavik,IS,63.8424,-22.4338,37.87,93,90,10.36,overcast clouds
162,Katobu,ID,-4.9408,122.5276,76.68,90,61,3.65,broken clouds
163,Ancud,CL,-41.8697,-73.8203,56.43,75,100,11.63,overcast clouds
164,Zhelyabovka,UA,45.3988,34.7578,55.98,80,97,3.98,overcast clouds
165,Ilulissat,GL,69.2167,-51.1,28.42,31,1,8.05,clear sky
166,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,44,17.85,scattered clouds
167,San Joaquin,US,37.9333,-121.3011,71.47,51,1,0.0,clear sky
168,Loreto,MX,22.2667,-101.9667,68.68,53,88,18.79,overcast clouds
169,Cherskiy,RU,68.75,161.3,-12.48,100,58,2.98,broken clouds
170,Ahuimanu,US,21.4447,-157.8378,74.91,73,75,12.66,broken clouds
171,Kardla,EE,58.9978,22.7492,48.06,67,7,18.19,clear sky
172,Rundu,NA,-17.9333,19.7667,86.11,11,7,5.32,clear sky
173,Abu Kamal,SY,34.4506,40.9171,79.38,19,55,10.22,broken clouds
174,Flinders,AU,-34.5833,150.8552,55.8,75,1,6.58,clear sky
175,Qaanaaq,GL,77.484,-69.3632,19.98,86,100,9.69,overcast clouds
176,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.88,69,4,19.48,clear sky
177,Ucluelet,CA,48.9329,-125.5528,55.09,94,100,5.73,light rain
178,Gornopravdinsk,RU,60.05,69.9,46.74,80,100,9.24,overcast clouds
179,Alyangula,AU,-13.8483,136.4192,79.11,73,84,6.17,broken clouds
180,Tuy Hoa,VN,13.0833,109.3,75.63,94,100,4.43,overcast clouds
181,Quibdo,CO,5.6947,-76.6611,86.22,66,100,2.39,overcast clouds
182,Gallup,US,35.5281,-108.7426,54.36,33,1,1.99,clear sky
183,Santa Maria,BR,-29.6842,-53.8069,63.81,74,96,5.61,overcast clouds
184,Alikalia,SL,9.1667,-11.4,81.45,74,58,3.0,light rain
185,Rio Grande,BR,-32.035,-52.0986,62.94,55,18,15.35,few clouds
186,Madras,IN,13.0878,80.2785,84.18,84,75,2.3,mist
187,Porto Novo,BJ,6.4965,2.6036,82.67,74,41,8.55,scattered clouds
188,Gorom-Gorom,BF,14.4439,-0.2361,100.36,12,22,7.65,few clouds
189,Chipinge,ZW,-20.1883,32.6236,76.55,44,11,9.64,few clouds
190,Beloha,MG,-25.1667,45.05,75.25,64,3,6.06,clear sky
191,Talnakh,RU,69.4865,88.3972,26.51,96,95,15.28,snow
192,Tomatlan,MX,19.9333,-105.25,87.01,66,17,4.0,few clouds
193,Hermanus,ZA,-34.4187,19.2345,56.89,60,100,15.9,overcast clouds
194,Nuuk,GL,64.1835,-51.7216,38.01,60,1,13.8,clear sky
195,Progreso,MX,21.2833,-89.6667,91.51,62,24,8.3,few clouds
196,Gat,IL,31.61,34.7642,75.88,100,81,5.12,broken clouds
197,Sitka,US,57.0531,-135.33,39.09,87,40,3.44,scattered clouds
198,Arman,RU,59.7,150.1667,16.32,56,3,8.46,clear sky
199,Valparaiso,CL,-33.0393,-71.6273,71.83,43,0,12.66,clear sky
200,Alice Town,BS,25.7167,-79.3,80.87,70,2,11.5,clear sky
201,Yellowknife,CA,62.456,-114.3525,37.42,100,90,5.75,mist
202,Tsogni,GA,-2.7942,10.0988,77.59,81,68,7.58,broken clouds
203,Avera,US,33.194,-82.5271,85.51,61,8,17.02,clear sky
204,Pevek,RU,69.7008,170.3133,6.53,90,71,3.62,broken clouds
205,Havre-Saint-Pierre,CA,50.2334,-63.5986,49.12,72,56,11.86,broken clouds
206,Jiangyou,CN,31.7667,104.7167,55.76,83,100,3.24,light rain
207,Shimoda,JP,34.6667,138.95,70.11,85,23,16.28,few clouds
208,Tete,MZ,-16.1564,33.5867,100.49,22,20,8.05,few clouds
209,Calama,CL,-22.4667,-68.9333,70.29,14,0,21.85,clear sky
210,Hobyo,SO,5.3505,48.5268,79.02,82,62,20.65,broken clouds
211,Strelka,RU,58.0728,93.0344,33.24,95,31,1.05,scattered clouds
212,Antofagasta,CL,-23.65,-70.4,66.22,55,22,10.71,few clouds
213,Saint Anthony,US,45.0205,-93.218,58.24,53,1,3.0,clear sky
214,Seoul,KR,37.5683,126.9778,40.44,33,3,13.24,clear sky
215,Provideniya,RU,64.3833,-173.3,23.07,91,81,15.12,broken clouds
216,San Patricio,US,28.017,-97.5169,73.49,42,99,16.35,overcast clouds
