City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Boissevain,CA,55.9,clear sky,49.2306,-100.0559,Boissevain Campgrounds
487,Komsomolskiy,UZ,54.82,scattered clouds,40.4272,71.7189,Ikathouse
494,Dalbandin,PK,68.43,clear sky,28.8947,64.4101,Gidaan Guest House
497,Schopfheim,DE,53.85,few clouds,47.6511,7.8209,Andi´s Steakhüsli
499,Tlaxco,MX,66.09,overcast clouds,19.6167,-98.1167,Hacienda Santa María Xalostoc
508,Bambanglipuro,ID,62.6,scattered clouds,-7.95,110.2833,Puri Brata
509,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
510,Lasa,IT,54.34,clear sky,46.6166,10.7002,Pension Feldgärtenhof
514,Mednogorskiy,RU,54.7,few clouds,43.9178,41.1825,"Gora ""Shunina"""
519,Lewistown,US,68.47,light intensity drizzle,40.5992,-77.5714,Quality Inn & Suites
525,Eureka,US,56.25,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
526,Milyutinskaya,RU,54.7,overcast clouds,48.6279,41.6679,
535,Cabras,IT,63.07,overcast clouds,39.93,8.5314,Hotel Villa Canu
545,Coihaique,CL,56.01,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
552,Ocampo,MX,66.96,overcast clouds,21.65,-101.5,Casa de ratas
555,Rocha,UY,59.22,clear sky,-34.4833,-54.3333,Beleza Pura B&B
559,Hibbing,US,53.1,clear sky,47.4272,-92.9377,Americas Best Value Inn Hibbing
561,Goma,CD,65.17,moderate rain,-1.6792,29.2228,Hotel la Versailles Goma
563,Bellevue,US,62.42,overcast clouds,47.6104,-122.2007,The Westin Bellevue
571,Kropotkin,RU,61.38,light rain,45.4375,40.5756,Hotel Europe Kropotkin
577,Pervomayskoye,RU,59.22,broken clouds,43.919,46.7102,
579,Abha,SA,68.25,clear sky,18.2164,42.5053,Abha Hotel
584,Balykshi,KZ,60.8,clear sky,47.0667,51.8667,Гостиница Golden Rose
599,Bella Vista,US,63.59,clear sky,36.4295,-94.2316,The Inn at Bella Vista
600,Valparai,IN,60.57,heavy intensity rain,10.3667,76.9667,Hotel Holiday Break
